id,reference
0,16.53184824
1,12.59772983
2,63.26078183
3,56.94182939
4,49.82841419
5,71.57822884
6,48.11043649
7,79.88101535
8,13.92945809
9,65.5873672
10,36.39202701
11,62.07277849
12,51.85458002
13,40.7366739
14,45.91891732
15,15.09016441
16,32.62619172
17,37.9837044
18,26.34742987
19,66.26423008
20,62.61726038
21,81.89102945
22,61.3619495
23,35.43821393
24,61.1883521
25,23.69021177
26,40.53602502
27,79.76978774
28,38.84426454
29,12.90860775
30,86.1248102
31,42.75443955
32,71.33378377
33,39.94024964
34,40.31338832
35,45.73466754
36,41.16263315
37,73.02709658
38,65.69013385
39,51.55922243
40,21.16032073
41,39.79692033
42,76.04186401
43,46.28983179
44,44.52454519
45,86.83323854
46,51.03497762
47,62.8916707
48,32.60551387
49,78.99966954
50,70.9737905
51,81.78608315
52,50.85358989
53,59.29768461
54,36.20029285
55,46.43726074
56,52.46715776
57,44.54503299
58,52.7407566
59,40.25427611
60,38.85987363
61,41.5533744
62,71.62459397
63,50.0214712
64,38.70919271
65,53.32826326
66,43.78553357
67,51.77717443
68,59.02288366
69,54.15321291
70,68.55827511
71,59.4793424
72,63.0037837
73,43.97970724
74,40.32346621
75,36.96696486
76,52.35870145
77,43.84065976
78,28.59049023
79,19.34876794
80,56.88394188
81,34.35118991
82,59.16796111
83,33.30212533
84,33.33505711
85,23.56281693
86,58.14453213
87,77.9435236
88,57.3482706
89,58.66695142
90,29.91003402
91,58.11157148
92,77.78155635
93,77.99763623
94,58.78271245
95,23.98323766
96,52.20828631
97,48.74609295
98,49.53637342
99,59.94747258
100,47.48740187
101,8.805958397
102,29.0575539
103,71.76310534
104,80.35796064
105,32.43435282
106,53.14773712
107,63.7480367
108,41.3787976
109,22.70324763
110,33.91693138
111,41.09056265
112,69.85479875
113,34.6398811
114,32.11314508
115,12.92214205
116,0.867968716
117,53.75848361
118,81.34166137
119,20.59915124
120,62.24130013
121,10.30026539
122,28.81544041
123,27.2337825
124,76.17828965
125,87.41903429
126,8.979334269
127,88.08363719
128,57.89077478
129,9.127131622
130,11.75966807
131,50.5803473
132,57.46083668
133,42.91048364
134,85.82498712
135,31.02334117
136,88.29448598
137,55.61967832
138,73.9220297
139,57.299273
140,36.10186455
141,56.61599931
142,45.07199904
143,43.66599282
144,19.83497034
145,33.98946092
146,40.56954155
147,13.50072042
148,9.039773928
149,61.99015507
150,85.4365365
151,55.32667889
152,56.09188571
153,78.59416215
154,69.86780325
155,51.30322746
156,35.4367107
157,52.03715018
158,6.701569898
159,59.75141794
160,49.05662142
161,35.80974866
162,13.60809303
163,80.2351654
164,46.81347062
165,72.40015279
166,11.86450669
167,48.7833658
168,29.3242736
169,70.53281861
170,53.75992401
171,49.6193119
172,38.07809595
173,39.73784171
174,30.65477924
175,34.83890014
176,72.78966763
177,76.57342852
178,57.42677654
179,59.27077715
180,22.7672443
181,72.38801658
182,65.31487893
183,35.66780281
184,83.05735674
185,51.17740047
186,42.23070428
187,21.87166107
188,21.95519137
189,42.93369213
190,22.92461671
191,65.46713797
192,29.3769645
193,44.42167248
194,19.81604621
195,25.42394208
196,87.27139063
197,74.46446831
198,58.32212944
199,38.73511782
200,51.63795875
201,20.99067
202,37.71964031
203,35.21668279
204,41.17495028
205,76.18834627
206,39.98864052
207,55.41281375
208,13.78829695
209,60.00253095
210,58.41138853
211,44.30955385
212,42.30225828
213,39.21315693
214,63.83804084
